Data	Aulas	Status	
01/06/2019	1	Completo	
02/06/2019	2		
03/06/2019	3		
04/06/2019	2		
05/06/2019	3		
06/06/2019	4		
07/06/2019	5		
08/06/2019	2		
09/06/2019	3		
10/06/2019	4		
11/06/2019	5		
12/06/2019	6		
13/06/2019	7		
14/06/2019	2		
15/06/2019	3		
16/06/2019	4		
17/06/2019	5		
18/06/2019	6		
19/06/2019	7		
20/06/2019	8		
21/06/2019	9		
22/06/2019	2		
23/06/2019	3		
24/06/2019	4		
25/06/2019	5		
26/06/2019	6		
27/06/2019	7		
28/06/2019	8		
29/06/2019	9		
30/06/2019	10		
01/07/2019	11		
02/07/2019	2		
03/07/2019	3		
04/07/2019	4		
05/07/2019	5		
06/07/2019	6		
07/07/2019	7		
08/07/2019	8		
09/07/2019	9		
10/07/2019	10		
11/07/2019	11		
12/07/2019	12		
13/07/2019	13		
14/07/2019	2		
15/07/2019	3		
16/07/2019	4		
17/07/2019	5		
18/07/2019	6		
19/07/2019	7		
20/07/2019	8		
21/07/2019	9		
22/07/2019	10		
23/07/2019	11		
24/07/2019	12		
25/07/2019	13		
26/07/2019	14		
27/07/2019	15		
28/07/2019	2		
29/07/2019	3		
30/07/2019	4		
31/07/2019	5		
01/08/2019	6		
02/08/2019	7		
03/08/2019	8		
04/08/2019	9		
05/08/2019	10		
06/08/2019	11		
07/08/2019	12		
08/08/2019	13		
09/08/2019	14		
10/08/2019	15		
11/08/2019	16		
12/08/2019	17		
13/08/2019	2		
14/08/2019	3		
15/08/2019	4		
16/08/2019	5		
17/08/2019	6		
18/08/2019	7		
19/08/2019	8		
20/08/2019	9		
21/08/2019	10		
22/08/2019	11		
23/08/2019	12		
24/08/2019	13		
25/08/2019	14		
26/08/2019	15		
27/08/2019	16		
28/08/2019	17		
29/08/2019	18		
30/08/2019	19		
31/08/2019	2		
01/09/2019	3		
02/09/2019	4		
03/09/2019	5		
04/09/2019	6		
05/09/2019	7		
06/09/2019	8		
07/09/2019	9		
08/09/2019	10		
09/09/2019	11		
10/09/2019	12		
11/09/2019	13		
12/09/2019	14		
13/09/2019	15		
14/09/2019	16		
15/09/2019	17		
16/09/2019	18		
17/09/2019	19		
18/09/2019	20		
19/09/2019	21		
20/09/2019	2		
21/09/2019	3		
22/09/2019	4		
23/09/2019	5		
24/09/2019	6		
25/09/2019	7		
26/09/2019	8		
27/09/2019	9		
28/09/2019	10		
29/09/2019	11		
30/09/2019	12		
01/10/2019	13		
02/10/2019	14		
03/10/2019	15		
04/10/2019	16		
05/10/2019	17		
06/10/2019	18		
07/10/2019	19		
08/10/2019	20		
09/10/2019	21		
10/10/2019	22		
11/10/2019	23		
12/10/2019	2		
13/10/2019	3		
14/10/2019	4		
15/10/2019	5		
16/10/2019	6		
17/10/2019	7		
18/10/2019	8		
19/10/2019	9		
20/10/2019	10		
21/10/2019	11		
22/10/2019	12		
23/10/2019	13		
24/10/2019	14		
25/10/2019	15		
26/10/2019	16		
27/10/2019	17		
28/10/2019	18		
29/10/2019	19		
30/10/2019	20		
31/10/2019	21		
01/11/2019	22		
02/11/2019	23		
03/11/2019	24		
04/11/2019	25		
05/11/2019	2		
06/11/2019	3		
07/11/2019	4		
08/11/2019	5		
09/11/2019	6		
10/11/2019	7		
11/11/2019	8		
12/11/2019	9		
13/11/2019	10		
14/11/2019	11		
15/11/2019	12		
16/11/2019	13		
17/11/2019	14		
18/11/2019	15		
19/11/2019	16		
20/11/2019	17		
21/11/2019	18		
22/11/2019	19		
23/11/2019	20		
24/11/2019	21		
25/11/2019	22		
26/11/2019	23		
27/11/2019	24		
28/11/2019	25		
29/11/2019	26		
30/11/2019	27		
01/12/2019	2		
02/12/2019	3		
03/12/2019	4		
04/12/2019	5		
05/12/2019	6		
06/12/2019	7		
07/12/2019	8		
08/12/2019	9		
09/12/2019	10		
10/12/2019	11		
11/12/2019	12		
12/12/2019	13		
13/12/2019	14		
14/12/2019	15		
15/12/2019	16		
16/12/2019	17		
17/12/2019	18		
18/12/2019	19		
19/12/2019	20		
20/12/2019	21		
21/12/2019	22		
22/12/2019	23		
23/12/2019	24		
24/12/2019	25		
25/12/2019	26		
26/12/2019	27		
27/12/2019	28		
28/12/2019	29		
29/12/2019	2		
30/12/2019	3		
31/12/2019	4		
01/01/2020	5		
02/01/2020	6		
03/01/2020	7		
04/01/2020	8		
05/01/2020	9		
06/01/2020	10		
07/01/2020	11		
08/01/2020	12		
09/01/2020	13		
10/01/2020	14		
11/01/2020	15		
12/01/2020	16		
13/01/2020	17		
14/01/2020	18		
15/01/2020	19		
16/01/2020	20		
17/01/2020	21		
18/01/2020	22		
19/01/2020	23		
20/01/2020	24		
21/01/2020	25		
22/01/2020	26		
23/01/2020	27		
24/01/2020	28		
25/01/2020	29		
26/01/2020	30		

Fonte de Consulta: https://docs.google.com/spreadsheets/d/1gBXT4JdtI8CnaTtXhzzEy9EcLjBuBJk7FupiBeMGckc/edit#gid=716001450
